frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x
27,15,52.808026233543345,10.035220745752888,610,8,133,2026-02-20 08:24:26+00:00,2026-02-20 08:24:26,11293.558965138447,24034.25959628257
27,16,38.539957125055494,87.12309669568695,6,8,134,2026-02-20 08:24:26+00:00,2026-02-20 08:24:26,5540.305292361087,55024.36048067817
27,18,48.0,70.0,1,8,136,2026-02-20 08:24:26+00:00,2026-02-20 08:24:26,9354.83870967742,48140.70351758794
28,4,37.96547059040813,52.705432913390354,3,3,137,2026-02-20 08:29:17+00:00,2026-02-20 08:29:17,5308.657496132312,41188.11373402627
28,8,14.21652896120915,152.95249017157667,14,8,138,2026-02-20 08:29:17+00:00,2026-02-20 08:29:17,-4267.528644673729,81488.43825993032
28,9,17.851898778319168,9.675438052695359,33,8,139,2026-02-20 08:29:17+00:00,2026-02-20 08:29:17,-2801.6537184196904,23889.623337766978
28,10,27.101140840889464,0.0,2,8,140,2026-02-20 08:29:17+00:00,2026-02-20 08:29:17,927.8793713263976,20000.0
28,11,50.322739747379394,12.192301660816984,880,8,141,2026-02-20 08:29:17+00:00,2026-02-20 08:29:17,10291.427317491693,24901.42780334351
28,12,37.755028258967855,92.16281005193889,20,8,142,2026-02-20 08:29:17+00:00,2026-02-20 08:29:17,5223.8017173257485,57050.375900276944
28,13,61.81360024380809,75.98307612296277,16,8,143,2026-02-20 08:29:17+00:00,2026-02-20 08:29:17,14924.838807987133,50545.960250437296
29,1,2.896972303866511,19.971732595845882,8,3,144,2026-02-20 08:34:09+00:00,2026-02-20 08:34:09,-8831.86600650544,28028.837224460658
29,11,9.477075602355976,155.47707560235597,2,8,146,2026-02-20 08:34:09+00:00,2026-02-20 08:34:09,-6178.598547437106,82503.34697582149
29,12,49.05944552679638,14.875708986034502,1252,8,147,2026-02-20 08:34:09+00:00,2026-02-20 08:34:09,9782.034486611446,25980.184516998794
29,13,21.0,26.754660828111493,3,8,148,2026-02-20 08:34:09+00:00,2026-02-20 08:34:09,-1532.2580645161288,30755.64254396442
29,15,38.492050017236984,56.860684413655264,11,8,150,2026-02-20 08:34:09+00:00,2026-02-20 08:34:09,5520.987910176204,42858.56659845438
29,16,38.70846572944014,95.97170542243948,29,8,151,2026-02-20 08:34:09+00:00,2026-02-20 08:34:09,5608.252310258123,58581.59011957366
29,17,49.52716681915823,77.38605307500401,8,8,152,2026-02-20 08:34:09+00:00,2026-02-20 08:34:09,9970.631781918644,51109.971085428755
29,18,51.0,46.78844101185504,2,8,153,2026-02-20 08:34:09+00:00,2026-02-20 08:34:09,10564.516129032258,38809.42352235379
29,19,61.17826208940476,87.31244292367558,62,8,154,2026-02-20 08:34:09+00:00,2026-02-20 08:34:09,14668.654068308373,55100.479567306764
30,6,42.351849371000505,51.709468906008986,3,3,156,2026-02-20 08:39:11+00:00,2026-02-20 08:39:11,7077.358617338914,40787.72619337045
