height,frame,idx,reflectivity,num,y,x,hdim_1,hdim_2,threshold_value,feature,time,timestr
1700.0,20,5,10.419700622558594,1,9214.389796579931,60152.51606119481,37.0,45.0,6.103884220123291,128,2026-02-20 07:49:39,2026-02-20 07:49:39
1700.0,20,7,6.507526397705078,2,16487.117069307205,56845.24923000241,53.0,37.776379673788796,6.103884220123291,130,2026-02-20 07:49:39,2026-02-20 07:49:39
1700.0,20,10,13.705493927001953,33,4840.356840311192,78091.35398952711,27.377127496208775,84.18140292326822,11.103884220123291,131,2026-02-20 07:49:39,2026-02-20 07:49:39
1700.0,20,12,13.537834167480469,4,4891.107482636957,85488.39667957347,27.488778909325458,100.33777332124008,11.103884220123291,133,2026-02-20 07:49:39,2026-02-20 07:49:39
1700.0,20,14,23.065448760986328,38,3001.2575384056277,63197.351592272,23.331109032016535,51.650426758680794,16.10388422012329,134,2026-02-20 07:49:39,2026-02-20 07:49:39
1700.0,21,13,18.108314514160156,24,3281.100124576657,65410.57541143986,23.946762721592798,56.48447535004638,16.10388422012329,139,2026-02-20 07:54:32,2026-02-20 07:54:32
1700.0,21,14,17.659772872924805,6,5051.513615075351,79417.0436412102,27.841672400689923,87.0769294117352,16.10388422012329,140,2026-02-20 07:54:32,2026-02-20 07:54:32
1700.0,21,15,19.446413040161133,1,9668.935251125384,57863.3129456934,38.0,40.0,16.10388422012329,141,2026-02-20 07:54:32,2026-02-20 07:54:32
1700.0,22,6,10.652811050415039,25,4064.5203826305938,86382.92710020312,25.67028728931146,102.29157640357097,11.103884220123291,143,2026-02-20 07:59:24,2026-02-20 07:59:24
1700.0,22,10,17.860675811767578,1,2850.7534329435657,67935.80665389959,23.0,62.0,16.10388422012329,145,2026-02-20 07:59:24,2026-02-20 07:59:24
1700.0,22,11,18.739591598510742,5,4716.6128321869255,80962.10504958249,27.104890678335387,90.45160026970726,16.10388422012329,146,2026-02-20 07:59:24,2026-02-20 07:59:24
1700.0,23,3,7.10044002532959,1,4668.935251125386,57863.3129456934,27.0,40.0,6.103884220123291,147,2026-02-20 08:04:26,2026-02-20 08:04:26
1700.0,23,4,7.993463516235352,1,14214.389796579931,60152.51606119481,48.0,45.0,6.103884220123291,148,2026-02-20 08:04:26,2026-02-20 08:04:26
1700.0,23,5,8.073748588562012,1,15578.026160216295,57405.472322593116,51.0,39.0,6.103884220123291,149,2026-02-20 08:04:26,2026-02-20 08:04:26
